date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:52	1348238/1348238	---M--	200	added ('OK')	text/css	etag:%2215a001f5-14928e-565bb9aebfd00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/app-assets/css/app.css	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/app-assets/css/app.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:52	64593/64593	---M-Z	200	added ('OK')	text/html	etag:%2215a00456-fc51-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/index.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/index-2.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:53	1719/1719	---M--	200	added ('OK')	image/png	etag:%2215a0026a-6b7-55c762e493800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/app-assets/img/logo-dark.png	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/app-assets/img/logo-dark.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:53	64593/64593	---M-Z	200	added ('OK')	text/html	etag:%2215a0043e-fc51-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/dashboard1.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/dashboard1.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:53	72635/72635	---M-Z	200	added ('OK')	text/html	etag:%2215a0043f-11bbb-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/dashboard2.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/dashboard2.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:53	113145/113145	---M-Z	200	added ('OK')	text/html	etag:%2215a0042c-1b9f9-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/color-palette.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/color-palette.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:53	83756/83756	---M-Z	200	added ('OK')	text/html	etag:%2215a00455-1472c-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/inbox.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/inbox.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:54	62729/62729	---M-Z	200	added ('OK')	text/html	etag:%2215a0042b-f509-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/chat.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/chat.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:54	62656/62656	---M-Z	200	added ('OK')	text/html	etag:%2215a00467-f4c0-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/taskboard.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/taskboard.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:54	70464/70464	---M-Z	200	added ('OK')	text/html	etag:%2215a0044f-11340-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/grids.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/grids.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
